Team1Index,Team1,Team2Index,Team2,score1,score2,scoreDiff
NA,Ball St.,35,Michigan,65,84,-19
NA,Tennessee Tech,NA,Xavier,48,79,-31
NA,SIUE,NA,Northern Ill.,73,53,20
NA,Tarleton St.,NA,Texas A&M,66,73,-7
33,Oral Roberts,11,Wichita St.,80,85,-5
NA,South Dakota St.,NA,Iowa St.,71,68,3
NA,Presbyterian,NA,Jacksonville,65,78,-13
34,Hartford,NA,Fairfield,66,61,5
NA,Seton Hall,NA,Rhode Island,63,76,-13
NA,Southern Ill.,NA,Southeast Mo. St.,87,79,8
NA,Kennesaw St.,NA,UAB,48,73,-25
NA,Murray St.,NA,Middle Tenn.,61,78,-17
68,Drexel,NA,Quinnipiac,66,48,18
NA,Dallas Christian,NA,McNeese,37,140,-103
NA,Louisiana,NA,New Orleans,66,63,3
NA,William Carey,NA,Southern Miss.,53,80,-27
NA,Old Dominion,17,Norfolk St.,80,66,14
NA,Houston Baptist,NA,SMU,75,102,-27
NA,North Florida,38,Florida St.,58,86,-28
NA,A&M-Corpus Christi,NA,UTRGV,59,62,-3
NA,Evansville,NA,UT Martin,87,93,-6
NA,Westminster (UT),NA,Utah Valley,71,79,-8
NA,Arkansas St.,NA,Memphis,54,83,-29
9,Missouri,7,Oregon,83,75,8
NA,La Sierra,NA,UC Irvine,54,104,-50
NA,UT Arlington,21,Arkansas,60,72,-12
NA,UIW,NA,Wyoming,83,94,-11
NA,Ark.-Pine Bluff,NA,Northwestern,49,92,-43
NA,North Dakota,NA,Dixie St.,73,74,-1
NA,San Francisco,NA,Nevada,85,60,25
NA,St. Katherine,58,San Diego St.,41,83,-42
NA,Davidson,NA,UNLV,77,73,4
NA,Southeastern La.,NA,California Baptist,81,80,1
64,Oregon St.,NA,Washington St.,55,59,-4
53,Illinois,19,Baylor,69,82,-13
NA,CSU Bakersfield,NA,Santa Clara,47,53,-6
NA,Quinnipiac,68,Drexel,58,70,-12
NA,LeTourneau,NA,Rice,74,94,-20
NA,Chicago St.,NA,Eastern Ill.,56,78,-22
30,Winthrop,NA,Little Rock,80,75,5
NA,UMass Lowell,NA,NC State,59,90,-31
NA,Tennessee Tech,NA,Northern Ky.,65,74,-9
NA,Washington,NA,Utah,62,76,-14
NA,Columbia Int'l,NA,Coastal Carolina,56,113,-57
NA,Purdue Northwest,NA,Bowling Green,67,88,-21
NA,Saint Francis (PA),65,Liberty,62,78,-16
NA,Newberry,NA,Western Caro.,84,91,-7
6,Southern California,41,UConn,58,61,-3
NA,Marshall,NA,Wright St.,80,64,16
NA,Fla. National,NA,Fla. Atlantic,64,128,-64
NA,N.C. A&T,NA,The Citadel,70,78,-8
NA,ULM,NA,Louisiana Tech,62,78,-16
NA,Western Ill.,2,Iowa,58,99,-41
NA,Omaha,12,Drake,66,87,-21
NA,East Tex. Baptist,NA,Grambling,59,68,-9
NA,Seattle U,46,UCLA,52,78,-26
NA,UTSA,8,Oklahoma,66,105,-39
NA,Washburn,3,Kansas,54,89,-35
NA,Niagara,63,Syracuse,45,75,-30
NA,VMI,28,Virginia Tech,57,64,-7
NA,Northwestern St.,NA,TCU,68,74,-6
NA,Montana,NA,Southern Utah,63,64,-1
NA,Idaho,NA,Sacramento St.,55,77,-22
NA,St. Katherine,NA,Pepperdine,45,94,-49
NA,Boston College,25,Florida,70,90,-20
52,Texas Southern,NA,Saint Mary's (CA),70,82,-12
NA,Arizona St.,NA,California,70,62,8
NA,Saint Peter's,44,Maryland,57,90,-33
NA,Fairfield,NA,Stony Brook,69,72,-3
NA,UT Arlington,NA,Tulsa,64,79,-15
NA,Detroit Mercy,45,Michigan St.,76,83,-7
NA,Southeastern La.,NA,California Baptist,66,83,-17
NA,Kennesaw St.,5,Creighton,58,93,-35
NA,Kent St.,4,Virginia,64,71,-7
NA,Georgia St.,NA,Charlotte,76,65,11
NA,Central Conn. St.,34,Hartford,65,80,-15
NA,Bellarmine,NA,Duke,54,76,-22
27,Wisconsin,NA,Marquette,65,67,-2
NA,William Jessup,NA,UC Davis,62,95,-33
NA,Carver,NA,Austin Peay,38,102,-64
NA,St. Ambrose,NA,UNI,53,98,-45
NA,Sul Ross St.,NA,UTSA,62,91,-29
NA,Our Lady of the Lake,NA,UTRGV,68,91,-23
